,Date,Day,Month,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed ,Injured Min,Injured ,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Weekend
189,18,Tuesday,August,2009,27 Sha’ban 1430,Working Day,,19:00:00,North Waziristan,32.9746,70.1456,KPK,Esha check post on bannu-miranshah road,Military,High,Open,,Military,,3.0,7.0,,3.0,1.0,,,24.65,76.37,0
190,21,Friday,August,2009,30 Sha’ban 1430,Working Day,,,Kohat,33.5833,71.4333,KPK,BB Pakdaman Street,Residential,,Open,,Civilian,,,0.0,,,1.0,,,29.035,84.26299999999999,0
191,22,Saturday,August,2009,01 Ramadhan 1430,Working Day,Weekend,17:00:00,Swat,35.2227,72.4258,KPK,kanju area of Kabal tehsil,Residential,Low,Closed, Police & Rangers raid in the area ,Police_Rangers,,2.0,3.0,2.0,8.0,1.0,,,26.025,78.845,1
192,23,Sunday,August,2009,02 Ramadhan 1430,Holiday,Weekend,,Peshawar,34.0043,71.5448,KPK,Momin Town,Residential,Low,open,Fateh Khawani of Haji Mobin Afridi,Anti_Militants,Sunni,,3.0,,15.0,1.0,12Kg,Lady Reading Hospital,29.92,85.85600000000001,1
193,27,Thursday,August,2009,06 Ramadhan 1430,Working Day,Ramadan,aftar time,Khyber Agency,34.0211,71.2874,FATA,security post near Torkham border,Military,High,Open,,Military,,20.0,22.0,10.0,27.0,1.0,,Landi Kotal Hospital,30.08,86.14399999999999,0
194,30,Sunday,August,2009,09 Ramadhan 1430,Holiday,Weekend,,Swat,35.2227,72.4258,KPK,Police & Rangers training center in Mingora,Police Rangers,High,Closed,,Police_Rangers,,16.0,18.0,4.0,14.0,1.0,12 Kg,Saidu Sharif hospital,29.155,84.479,1
195,12,Saturday,September,2009,22 Ramadhan 1430,Working Day,Weekend,5 min befor aftar,Hangu,33.5351,71.0713,KPK,Doaba Police & Rangers station,Police Rangers,High,Closed,,Police_Rangers,,,,2.0,4.0,1.0,,,26.635,79.943,1
196,13,Sunday,September,2009,23 Ramadhan 1430,Holiday,Weekend,,Malakand ,34.503,71.9046,KPK,checkpost in Thana area-near batkhela,Military,High,Open,,Military,,,1.0,3.0,5.0,2.0,,,28.31,82.958,1
197,18,Friday,September,2009,28 Ramadhan 1430,Working Day,Ramadan,10:00:00,Kohat,33.5833,71.4333,KPK,Kacha pakha bazar-in Astarzai union council area,Market,Low,Open,,Civilian,,30.0,37.0,50.0,60.0,1.0,150 kg ,,29.19,84.542,0
198,19,Saturday,September,2009,29 Ramadhan 1430,Working Day,Weekend,Saturday Evening,Dara Adam Khel,33.6854,71.5131,KPK,"Security Check
Post in zorkalay area",Police Rangers,High,Open,,Police_Rangers,,,2.0,,1.0,1.0,,,29.865,85.757,1
199,21,Monday,September,2009,02 Shawwal 1430,Working Day,Eid-ul-Fitar,After Midnight,Totalai,34.2,72.5,KPK,Tatalai District,Educational,Low,Closed,,Government Official,,,0.0,,,1.0,,,26.855,80.339,0
200,26,Saturday,September,2009,07 Shawwal 1430,Working Day,Weekend,7.00 am,Bannu,32.9861,70.6042,KPK,outside Police & Rangers Station in mundan area-Bannu,Police Rangers,High,Open,,Police_Rangers,,7.0,10.0,50.0,65.0,1.0,180Kg,,26.375,79.475,1
201,26,Saturday,September,2009,07 Shawwal 1430,Working Day,Weekend,11.35 am,Peshawar,34.0043,71.5448,KPK,"Fakhar e Alam Road-
Saddar-infront of Askari bank",Bank,Low,Open,,Civilian,,10.0,14.0,50.0,120.0,1.0,100 Kg,"1. Lady Reading Hospital Pesh
2. CMH Peshwar",31.075,87.935,1
202,28,Monday,September,2009,09 Shawwal 1430,Working Day,,Monday Morning,bannu,32.935,70.6688,KPK,Bakakhel,Mobile,Low,Open,molvi abdul hakeem as goin to attend jirga-anti-talibanic cleric,Anti_Militants,Sunni,4.0,5.0,,,1.0,,,24.33,75.794,0
203,5,Monday,October,2009,16 Shawwal 1430,Working Day,,12.15 pm,Islamabad,33.718,73.0718,Capital,WFP office in IslamabadF-8/3,Foreign,High,Closed,,foreigner,Christian,,5.0,3.0,8.0,1.0,8Kg,,24.935,76.883,0
204,9,Friday,October,2009,20 Shawwal 1430,Working Day,,12.15 PM,Peshawar,34.0043,71.5448,KPK,Khayber Bazar-Peshawar,Market,Low,Open,,Civilian,,48.0,50.0,148.0,187.0,1.0,100Kg,"Lady Reading Hospital 
Peshawar",25.75,78.35,0
205,12,Monday,October,2009,23 Shawwal 1430,Working Day,,13:00:00,Shangla ,34.8015,72.757,KPK,near Police & Rangers station in Alpuri area of shangla District,Mobile,High,Open,military convoy,Military,,,41.0,45.0,50.0,1.0,,Alpuri Hospital,22.04,71.672,0
206,15,Thursday,October,2009,26 Shawwal 1430,Working Day,,8:00am,Kohat,33.5833,71.4333,KPK,KohatPolice & Rangers Station ,Police Rangers,High,Closed,,Police_Rangers,,11.0,12.0,20.0,24.0,1.0,100 Kg,KohatHospital,23.25,73.85,0
207,15,Thursday,October,2009,26 Shawwal 1430,Working Day,,,Lahore,31.5451,74.3407,Punjab,FIA Headquarter-Manawan Police & Rangers training school-elite training school,Police Rangers,High,Closed,,Police_Rangers,,,18.0,,50.0,,,,25.22,77.396,0
208,16,Friday,October,2009,27 Shawwal 1430,Working Day,,14:45:00,Peshawar,34.0043,71.5448,KPK,crimes investigation agency (CIA) in Swati gate-near Peshawarcantt,Military,High,Closed,,Military,,14.0,15.0,15.0,24.0,1.0,70 kg ,"Lady Reading Hospital 
Peshawar",23.265,73.877,0
209,20,Tuesday,October,2009,01 Dhul-Qi’dah 1430,Working Day,,14:10:00,Islamabad,33.718,73.0718,Capital,"Islamic International University
Islamabad",Educational,Low,Closed,,Civilian,,5.0,6.0,29.0,40.0,2.0,16 Kg,,21.895,71.411,0
210,23,Friday,October,2009,04 Dhul-Qi’dah 1430,Working Day,,7.10 am,Attock,33.7645,72.3667,Punjab,"Kamra chowk-Aeronautical Complex
Security Check Post",Military,High,Open,,Military,,8.0,9.0,13.0,17.0,1.0,,Govt Hospital Kamra,20.865,69.557,0
211,24,Saturday,October,2009,05 Dhul-Qi’dah 1430,Working Day,Weekend,late night,Chakwal ,32.9303,72.8556,Punjab,checkpost between kalarkahar and lilla interchange-Lahoreto isb motorway-,Police Rangers,High,Open,,Police_Rangers,,,1.0,,,1.0,,,20.485,68.873,1
212,2,Monday,November,2009,14 Dhul-Qi’dah 1430,Working Day,,10.40 AM,Rawalpindi,33.6058,73.0437,Punjab,"Outside National Bank
Rawalpindi Cantt",Bank,Low,Open,,Civilian,,35.0,38.0,60.0,65.0,1.0,15Kg,CMH-Distric headquarter hospital-militry hospital-combined military hospital,20.755,69.359,0
213,2,Monday,November,2009,14 Dhul-Qi’dah 1430,Working Day,,18:40:00,Lahore,31.5451,74.3407,Punjab,"Checkpost at Babu Sabu Interchange
on LahoreIslamabadMotorway",Police Rangers,High,Open,,Police_Rangers,,,,10.0,25.0,1.0,10Kg,mian munchi hospital-mayo hospital,21.02,69.836,0
214,8,Sunday,November,2009,20 Dhul-Qi’dah 1430,Holiday,Weekend,9.30 AM,Peshawar,34.0043,71.5448,KPK,"Cattle Market in Adezai
Village in Peshawar",Market,Low,Open,,Government Official,,12.0,19.0,35.0,45.0,1.0,10 Kg,"Lady Reading Hospital 
Peshawar",14.74,58.532,1
215,9,Monday,November,2009,21 Dhul-Qi’dah 1430,Holiday,Iqbal Day,9.45 AM,Peshawar,34.0043,71.5448,KPK,Police & Rangers check post near busy intersection that connects Charsaddaroad and ring road-Faqirabad,Police Rangers,High,Open,,Police_Rangers,,,3.0,5.0,7.0,1.0,7Kg ,,15.475,59.855,0
216,10,Tuesday,November,2009,22 Dhul-Qi’dah 1430,Working Day,,16:30:00,Charsadda,34.1509,71.7359,KPK,ghafoor market in Charsaddabazar-tangi road Farooq e Azam Chowk,Market,Low,Open,,Civilian,,32.0,34.0,60.0,100.0,1.0,60Kg,"Lady Reading Hospital 
Peshawar",15.49,59.882,0
217,13,Friday,November,2009,25 Dhul-Qi’dah 1430,Working Day,,6.45 AM,Peshawar,34.0043,71.5448,KPK,Military Check point at the entrance of regional HQ ISI,Military,High,Open,,Military,,10.0,13.0,47.0,70.0,1.0,400Kg,"Lady Reading Hospital-combined military hospital-khyber teaching hospital-
Peshawar",17.425,63.365,0
218,13,Friday,November,2009,25 Dhul-Qi’dah 1430,Working Day,,7.15 am,Bannu,32.9861,70.6042,KPK,Bakakhel Police & Rangers station on bannu-miranshah road,Police Rangers,High,Closed,,Police_Rangers,,7.0,8.0,22.0,29.0,1.0,200Kg,,10.7,51.26,0
219,14,Saturday,November,2009,26 Dhul-Qi’dah 1430,Working Day,Weekend,16:15:00,Peshawar,34.0043,71.5448,KPK,Police & Rangers check post on Pishtakhara Intersection,Police Rangers,High,Open,,Police_Rangers,,,12.0,25.0,35.0,1.0,50-60Kg,"1. LRH Peshawar
2. Khyber Teaching
3. Hayatabad Medical",17.01,62.618,1
220,16,Monday,November,2009,28 Dhul-Qi’dah 1430,Working Day,,,Peshawar,34.0043,71.5448,KPK,check point outside Badbher-Police & Rangers station,Police Rangers,High,Open,,Police_Rangers,,,3.0,,43.0,1.0,250Kg,LRH,14.65,58.37,0
221,19,Thursday,November,2009,02 Dhul-Hijjah 1430,Working Day,,10.20 am,Peshawar,34.0043,71.5448,KPK,"Main Gate of the Judicial
Complex on Khyber Road",Government,High,Open,,Government Official,,20.0,22.0,46.0,50.0,1.0,10 kg ,"Lady Reading Hospital 
Peshawar",15.72,60.29600000000001,0
222,1,Tuesday,December,2009,14 Dhul-Hijjah 1430,Working Day,,,Swat,35.2227,72.4258,KPK,"District Mangora-Tehsil Kabal
-Dherai area",Residential,Medium,Closed,,Government Official,,1.0,2.0,11.0,30.0,1.0,10 Kg,,13.83,56.894,0
223,2,Wednesday,December,2009,15 Dhul-Hijjah 1430,Working Day,,13:30:00,Islamabad,33.718,73.0718,Capital,Naval Complex,Military,High,Open,,Military,,,2.0,10.0,18.0,1.0,12Kg,,15.595,60.071000000000005,0
224,4,Friday,December,2009,17 Dhul-Hijjah 1430,Working Day,,During Friday prayer,Rawalpindi,33.6058,73.0437,Punjab,Qasim market-Parade Lane Masjid,Religious,Medium,Closed,,Military,,36.0,40.0,75.0,83.0,1.0,,"1. CMH Rawalpindi
2. DHQ Rawalpindi
3. AFIC      4.MH",16.04,60.872,0
225,7,Monday,December,2009,20 Dhul-Hijjah 1430,Working Day,,12:30:00,Peshawar,34.0043,71.5448,KPK,"At the Gate of Peshawar
Session Court",Government,High,Open,,Government official,,9.0,11.0,37.0,50.0,1.0,8Kg,"Lady Reading Hospital 
Peshawar",13.765,56.777,0
226,7,Monday,December,2009,20 Dhul-Hijjah 1430,Working Day,,8.42 pm,Lahore,31.5451,74.3407,Punjab,Moon Market LahoreAllama Iqbal Town,Market,Low,Open,,Civilian,,38.0,45.0,100.0,135.0,2.0,,"1. Jinnah Hospital
2. Sheikh Zahyad Hospital
3. Mayo Hospital 4.services hospital-5.farooq hospital",13.12,55.61600000000001,0
227,8,Tuesday,December,2009,21 Dhul-Hijjah 1430,Working Day,,12.10 PM,Multan,30.1886,71.4559,Punjab,checkpost near ISI Office building in Qasim Bala area -Multan Cantt,Military,High,Open,,Military,,8.0,15.0,47.0,61.0,1.0,1000 Kg,"1. CMH
2. Nishtar Hospital",14.84,58.711999999999996,0
228,15,Tuesday,December,2009,28 Dhul-Hijjah 1430,Working Day,,2.30 pm,D.G Khan,30.05,70.6333,KPK,Khosa market near-house of Zulfiqar ali Khosa,Residential,Medium,Open,,Government Official,,24.0,33.0,55.0,70.0,1.0,1000 KG,district headquarters hospitals,16.34,61.412,0
229,17,Thursday,December,2009,30 Dhul-Hijjah 1430,Working Day,,,Bannu,32.9861,70.6042,KPK,Essakhel village-house of Local political leader,Residential,Medium,Closed,,Government Official,,,0.0,,0.0,1.0,,,6.315,43.367,0
230,18,Friday,December,2009,01 Muharram 1431,Working Day,Islamic New Year,1.30 pm,Lower Dir,34.8453,71.9046,KPK,mosque on Khursheed Police & Rangers line- civil colony in Timergarah,Religious,Medium,Closed,,Police_Rangers,,,12.0,28.0,35.0,1.0,20 Kg,DHQ Timergara,10.69,51.242,0
231,22,Tuesday,December,2009,05 Muharram 1431,Working Day,,11:40:00,Peshawar,34.0043,71.5448,KPK,"Main Gate PeshawarPress 
Club",Office Building,Low,Closed,,Media,,1.0,3.0,21.0,24.0,1.0,10 kg ,"Lady Reading Hospital 
Peshawar",13.12,55.61600000000001,0
232,24,Thursday,December,2009,07 Muharram 1431,Working Day,,11.57 am,Peshawar,34.0043,71.5448,KPK,junction of mall road and Arbab Road-near PIA Building,Police Rangers,High,Open,,Government Official,,4.0,5.0,24.0,25.0,1.0,10 Kg,"Lady Reading Hospital 
Peshawar",13.48,56.263999999999996,0
233,24,Thursday,December,2009,07 Muharram 1431,Working Day,,10.18 pm,Islamabad,33.718,73.0718,Capital,Majlis in Shakrial-near darbad saein boota,Religious,Medium,Open,Shia Religious Gathering ,Religious,Shiite,,1.0,1.0,4.0,1.0,,PIMS,12.7,54.86,0
234,28,Monday,December,2009,11 Muharram 1431,Holiday,Ashura,6.30 pm,Muzaffarabad,34.3597,73.4711,AJK,CMH Road-Muzaffarabad,Parks Grounds,Medium,Open,Muharram Procession,Religious,Shiite,10.0,15.0,81.0,100.0,1.0,,,9.525,49.145,0
235,1,Friday,January,2010,15 Muharram 1431,Working Day,,17:00:00,Lakki marwat,32.6018,70.9148,KPK,Peshawarshah Hasankhel village ground,Parks Grounds,Medium,Open,,Civilian,,88.0,100.0,37.0,100.0,1.0,250 kg,Near local hospital,6.805,44.248999999999995,0
236,6,Wednesday,January,2010,20 Muharram 1431,Working Day,,06:50:00,Sudhanoti,33.705999999999996,73.7242,AJK,Military Base in tarar khal town sudhanoti district,Military,High,Open,,Military,,,4.0,11.0,12.0,1.0,,CMH Rawala kot,11.39,52.501999999999995,0
237,8,Friday,January,2010,22 Muharram 1431,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area,Religious,low,Open,Ansar-ul-Islam (AI) Shura,Religious,,,8.0,,11.0,1.0,,,11.33,52.394,0
238,8,Friday,January,2010,22 Muharram 1431,Working Day,,,peshawar,34.0043,71.5448,KPK,Adezai village in Matni on the outskirts of Peshawar,Police Rangers,High,Open,,Police_Rangers,,,0.0,,6.0,1.0,,,12.075,53.735,0
239,16,Saturday,January,2010,01 Safar 1431,Working Day,Weekend,10:00:00 AM/10:15 AM,Poonch,33.8243,73.7949,AJK,Dothan village near rawlakot,Mobile,High,Open,,Police_Rangers,,,1.0,1.0,2.0,1.0,600 kg,CMH Rawala kot,12.41,54.338,1
240,23,Saturday,January,2010,08 Safar 1431,Working Day,Weekend,,Tank,32.226,70.3761,KPK,gomal Police & Rangers station,Police Rangers,High,Open,,Police_Rangers,,4.0,5.0,3.0,11.0,1.0,,,6.015,42.827,1
241,29,Friday,January,2010,14 Safar 1431,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,High,Open,,Military,,16.0,17.0,26.0,47.0,1.0,,District headquarter hospital Timra,6.905,44.428999999999995,0
242,10,Wednesday,February,2010,26 Safar 1431,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Mobile,High,Open,,Military,,17.0,22.0,6.0,11.0,1.0,,1.Hayatabad Meical hospital,8.07,46.526,0
243,11,Thursday,February,2010,27 Safar 1431,Working Day,,Maghrib prayers,Bannu,32.9861,70.6042,KPK,Bannu Police & Rangers Lines 2-,Police Rangers,High,Open,,Police_Rangers,,,15.0,25.0,30.0,2.0,,1.District Headquarter Hospital Bannu  2.Combined Military Hospital,2.32,36.176,0
244,18,Thursday,February,2010,04 Rabi’ al-Awwal 1431,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,Medium,Open,Lashkar-e-Islam Commander was the target,Anti_Militants,Sunni,22.0,31.0,30.0,110.0,1.0,40Kg,Mashte hospital,11.835,53.303000000000004,0
245,20,Saturday,February,2010,06 Rabi’ al-Awwal 1431,Working Day,Weekend,09:30:00,Mansehra,34.3333,73.2,KPK,Balakot Police & Rangers station,Police Rangers,High,Open,,Police_Rangers,,,1.0,4.0,10.0,2.0,5Kg,1.Manseehra District Headquarters Hospital,13.74,56.732,1
246,22,Monday,February,2010,08 Rabi’ al-Awwal 1431,Working Day,,04:20:00,Swat,35.2227,72.4258,KPK,Mingora-Nishat Chowk,Mobile,High,Open,attack on security forces vehicle,Military,,7.0,13.0,37.0,41.0,1.0,,1.CMH Hospital 2.Seydo Hospital,11.66,52.988,0
247,27,Saturday,February,2010,13 Rabi’ al-Awwal 1431,Holiday,Eid Milad un-Nabi,,Karak,33.1193,71.0951,KPK,Karak Police & Rangers Station,Police Rangers,High,Open,,Police_Rangers,,,4.0,23.0,24.0,2.0,250Kg,District Headquarter Hospital Karak,11.69,53.042,1
248,5,Friday,March,2010,19 Rabi’ al-Awwal 1431,Working Day,,,Hangu,33.5351,71.0713,KPK,Tal parachinar road in the jurisdiction of dandore area of Hangu,Mobile,Low,Open,,Civilian,Shiite,12.0,14.0,30.0,35.0,1.0, 12 kg,1.CMH Tal Hospital 2.District Headquarters hospital hangu,12.35,54.23,0
249,8,Monday,March,2010,22 Rabi’ al-Awwal 1431,Working Day,,08:20:00,Lahore,31.5451,74.3407,Punjab,(SIA ) office-model Town area,Office Building,High,Open,,Military,,13.0,14.0,80.0,100.0,1.0,600Kg,1.Jinna Hospital 2.General Hosptal 3.shaikh zayed Hospital 4.Ittefaq Hospital,20.46,68.828,0
250,12,Friday,March,2010,26 Rabi’ al-Awwal 1431,Working Day,,12:45:00,Lahore,31.5451,74.3407,Punjab,LahoreCant R.A Bazar Stop,Military,High,Open,,Military,Sunni,43.0,57.0,90.0,100.0,2.0,12 kg,Children Hospital,23.32,73.976,0
251,13,Saturday,March,2010,27 Rabi’ al-Awwal 1431,Working Day,Weekend,09:15:00,Swat,35.2227,72.4258,KPK,District court Checkpost,Police Rangers,High,Open,,Police_Rangers,,14.0,17.0,52.0,60.0,1.0,14 kg,1. Judical Complex,16.365,61.457,1
252,29,Monday,March,2010,13 Rabi’ al-Thani 1431,Working Day,,,Tank,32.226,70.3761,KPK,office of Pro-govt tribal leader-Misbahhuddin mehsud,Government,Medium,Closed,,Anti_Militants,Sunni,,2.0,,2.0,1.0,,,16.64,61.952,0
253,29,Monday,March,2010,13 Rabi’ al-Thani 1431,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Lagharai area in Bajaur,Mobile,Low,Open,Leader of anti-militants lashkar,Anti_Militants,Sunni,,2.0,5.0,8.0,1.0,,Agency headquarter hospital in Khar,19.45,67.01,0
254,5,Monday,April,2010,20 Rabi’ al-Thani 1431,Working Day,,,Peshawar,34.0043,71.5448,KPK,U.S. consulate peshwar,Foreign,High,Open,,foreigner,Christian,6.0,8.0,,0.0,1.0,,,23.135,73.643,0
255,5,Monday,April,2010,20 Rabi’ al-Thani 1431,Working Day,,12:00 noon,Lower Dir,34.8453,71.9046,KPK,ANP rally in Timergara ,Hotel,Medium,Open,,Government Official,,50.0,56.0,75.0,120.0,3.0,,1.Lady Reading Hospital 2.Khaber Teaching Hospital,21.1,69.98,0
256,16,Friday,April,2010,02 Jumada al-Ula 1431,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Quettacivil Hospital ,Hospital,Low,Closed,,Government Official,Shiite,,11.0,35.0,40.0,1.0,15 kg,1.Civil Hospital 2.Bolan Medical Complex 3. CMH,25.14,77.252,0
257,17,Saturday,April,2010,03 Jumada al-Ula 1431,Working Day,Weekend,12:00:00 PM/11:55 AM,Kohat,33.5833,71.4333,KPK,IDP camp-kacha Pakha area on Hangu Road Kohat,Parks Grounds,Low,Open,,Civilian,,41.0,44.0,60.0,70.0,2.0,12 Kg,1.District Headquarter Hospital  2.Liaqat Hospital,28.745,83.741,1
258,18,Sunday,April,2010,04 Jumada al-Ula 1431,Holiday,Weekend,07:15:00,Kohat,33.5833,71.4333,KPK,KohatPolice & Rangers Station,Police Rangers,High,Closed,,Police_Rangers,,,7.0,30.0,32.0,1.0,250 kg,District Headquarter Hospital,26.62,79.916,1
259,19,Monday,April,2010,05 Jumada al-Ula 1431,Working Day,,12:30:00,Peshawar,34.0043,71.5448,KPK,Protest demonstration Qissa Khawani Bazaar,Parks Grounds,Low,Open,Jamit-i-Islam members,Anti_Militants,Sunni,23.0,24.0,27.0,49.0,1.0,8 kg,Lady Reading Hospital,25.96,78.72800000000001,0
260,28,Wednesday,April,2010,14 Jumada al-Ula 1431,Working Day,,04:05:00,Peshawar,34.0043,71.5448,KPK,Pir Bala Police & Rangers Check post ,Police Rangers,High,Open,,Police_Rangers,,4.0,5.0,11.0,14.0,1.0,300 kg,Lady Reading Hospital,26.47,79.646,0
261,1,Saturday,May,2010,17 Jumada al-Ula 1431,Holiday,Labour Day,,Swat,35.2227,72.4258,KPK,Sohrab Khan Market town Mingora ,Market,Low,Open,,Civilian,,3.0,7.0,9.0,16.0,1.0,15 kg,,23.315,73.967,1
262,2,Sunday,May,2010,18 Jumada al-Ula 1431,Holiday,Weekend,,Bajaur Agency,34.8718,71.5249,FATA,Bilalabad area near Khar town,Military,High,Open,,Military,,,0.0,,0.0,1.0,,,27.025,80.645,1
263,28,Friday,May,2010,14 Jumada al-Akhirah 1431,Working Day,,,Lahore,31.5451,74.3407,Punjab,Model Town and garhi shahu  Lahore,Religious,Medium,Closed,,Civilian,Ahmedi,80.0,95.0,92.0,200.0,1.0,,,31.495,88.691,0
264,1,Thursday,July,2010,19 Rajab 1431,Working Day,,10:46:00 PM/11:00 PM,Lahore,31.5451,74.3407,Punjab,Data Darbar-Lahore,Religious,Medium,Closed,,Civilian,,40.0,42.0,,175.0,2.0,20 kg ,"1. Mayo Hospital
2. Sir Ganga Ram Hospital 
3. Services Hospital",32.37,90.266,0
265,9,Friday,July,2010,27 Rajab 1431,Working Day,Shab e Miraj,,Mohmand agency ,32.9746,70.1456,FATA,"Yakka Ghund Tehsil
of Mohmand agency ",Parks Grounds,Low,Open,,Government Official,,65.0,80.0,104.0,110.0,2.0,,Lady Reading Hospital Peshwar,26.725,80.105,0
266,12,Monday,July,2010,30 Rajab 1431,Working Day,,,Kohat,33.5833,71.4333,KPK,outside the guest house of a pro-Government tribal elder-Malik Swab Khan-in KohatDistrict,Government,Low,Open,,Government Official,,,0.0,,0.0,1.0,,,32.205,89.969,0
267,18,Sunday,July,2010,06 Sha’ban 1431,Holiday,Weekend,,Sargodha,32.0791,72.6718,Punjab,Dar-ul-uloom muhamdia imambargh,Religious,Medium,Closed,,Religious,Shiite,3.0,4.0,9.0,26.0,1.0,,,34.805,94.649,1
268,26,Monday,July,2010,14 Sha’ban 1431,Working Day,,,Nowshehra,34.0322,73.0944,KPK,"Nowshera near
Provincial Info Ministr house ",Residential,Medium,Closed,,Government Official,Sunni,,8.0,23.0,25.0,1.0,10 kg,Lady Reading Hospital Peshwar,31.52,88.736,0
269,4,Wednesday,August,2010,23 Sha’ban 1431,Working Day,,around 4:30 PM,Peshawar,34.0043,71.5448,KPK,FC chowk near Dean's trade center,Mobile,High,Open,,Military,,3.0,4.0,11.0,14.0,1.0,10Kg,,28.59,83.462,0
270,23,Monday,August,2010,13 Ramadhan 1431,Working Day,Ramadan,,South waziristan,32.3202,69.8597,FATA,Wana-mosque,Religious,Medium,Closed,Pro-Government cleric,Anti_Militants,Sunni,26.0,30.0,,40.0,1.0,20Kg,,25.23,77.414,0
271,1,Wednesday,September,2010,22 Ramadhan 1431,Working Day,Ramadan,6:55pm/7:00pm/7:10pm,Lahore,31.5451,74.3407,Punjab,1)First blast lower mal gate 2)Ghaznavi street urdu bazar 3) Bhati Chowk ,Parks Grounds,Low,Open,Yaum-e-Ali,Religious,Shiite,27.0,43.0,150.0,243.0,3.0,,1)Mayo Hospital 2)Sir ganga Ram Hospital,31.97,89.546,0
272,3,Friday,September,2010,24 Ramadhan 1431,Working Day,Ramadan,,Quetta,30.2095,67.0182,Balochistan,Mizan chowk Quetta,Parks Grounds,Low,Open,Al-Quds Rally organized by Imamia stdents organization,Civilian,,54.0,62.0,150.0,200.0,1.0,15Kg,1.Combined Miltry Hospital                2.Civil Hospital,26.745,80.141,0
273,3,Friday,September,2010,24 Ramadhan 1431,Working Day,Ramadan,,Mardan,34.1982,72.0444,KPK,worship place of the Ahmedis in Muslimabad area ,Religious,Medium,Closed,,Religious,,,1.0,,4.0,1.0,,,27.875,82.175,0
274,6,Monday,September,2010,27 Ramadhan 1431,Holiday,Defence Day,07:05:00,lakki marwat,32.6018,70.9148,KPK,lakki marwat Police & Rangers Station,Police Rangers,High,Closed,,Police_Rangers,,15.0,19.0,34.0,57.0,1.0,600 kg,1.Civil Hospital      2.DHQ Hospital,26.635,79.943,0
275,9,Thursday,September,2010,30 Ramadhan 1431,Working Day,Ramadan,12:30:00,Quetta,30.2095,67.0182,Balochistan,"Raily Housing Society
Near Finance Minnister
House Quetta",Residential,Medium,Open,,Government Official,,2.0,5.0,3.0,6.0,1.0,15 kg,,25.8,78.44,0
276,7,Thursday,October,2010,28 Shawwal 1431,Working Day,,18:45:00,Karachi,24.9918,66.9911,Sindh,Shrine of Abdullah shah ghazi in Clifton,Religious,Medium,Closed,Attendess at shrine,Religious,Sunni,6.0,10.0,60.0,77.0,2.0, 6 kg,"1. JPMC
2. Civil Hospital KHI",30.45,86.81,0
277,18,Monday,October,2010,10 Dhul-Qi’dah 1431,Working Day,,,Lakki marwat,32.6018,70.9148,KPK,jabukhel village,Parks Grounds,Low,Open,Police & Rangers tried to stop the car but the driver exploded the car in residential area,Civilian,,,,5.0,14.0,1.0,1200Kg,,20.785,69.413,0
278,1,Monday,November,2010,24 Dhul-Qi’dah 1431,Working Day,,08:45:00,Swabi ,34.1335,72.4702,KPK,District Shahmanoor Police & Rangers Lines Swabi,Police Rangers,High,Open,,Police_Rangers,,2.0,5.0,10.0,13.0,1.0,12 kg ,1.Judicial Complex,18.87,65.96600000000001,0
279,5,Friday,November,2010,28 Dhul-Qi’dah 1431,Working Day,,13:30:00,Dara Adam khel,33.6854,71.5131,KPK,Dara Adam Khel Corwded Mosque ,Religious,Medium,Closed,,Religious,Sunni,61.0,76.0,70.0,132.0,1.0,15Kg,1.District Headqurters Hospital 2.Lady reading hospital,20.1,68.18,0
280,11,Thursday,November,2010,05 Dhul-Hijjah 1431,Working Day,,20:10:00,Karachi,24.9918,66.9911,Sindh,Crime Investigation Department,Military,High,Closed,,Military,,16.0,20.0,100.0,140.0,1.0,1000 Kg ,,28.175,82.715,0
281,11,Thursday,November,2010,05 Dhul-Hijjah 1431,Working Day,,,Poonch,33.8243,73.7949,AJK,Rawalacot Security force vehicle,Mobile,Low,open,,Military,,,0.0,,2.0,1.0,,1.Zahid hospital,18.315,64.967,0
282,14,Sunday,November,2010,08 Dhul-Hijjah 1431,Holiday,Weekend,,South waziristan,32.3202,69.8597,FATA,Shakai village ,Market,Low,Open,,Anti_Militants,Sunni,,1.0,,8.0,1.0,,Wana hospital,7.985,46.373000000000005,1
283,30,Tuesday,November,2010,24 Dhul-Hijjah 1431,Working Day,,08:45:00,Bannu,32.935,70.6688,KPK,near furniture market-Banu,Mobile,High,Open,Police & Rangers van crossing the chowk,Police_Rangers,,2.0,6.0,6.0,22.0,1.0, 12 kg,,9.975,49.955,0
